Year,Variable,Unit,Commodity,Fresh ,Processed,Total,,,,,,,,, 
1970,Fruit,Pounds,Orange,16.16,67.68,83.84,,,,,,,,,
1971,Fruit,Pounds,Orange,15.73,68.07,83.8,,,,,,,,,
1972,Fruit,Pounds,Orange,14.47,72.16,86.63,,,,,,,,,
1973,Fruit,Pounds,Orange,14.43,69.93,84.36,,,,,,,,,
1974,Fruit,Pounds,Orange,14.42,72.78,87.2,,,,,,,,,
1975,Fruit,Pounds,Orange,15.88,78.97,94.85,,,,,,,,,
1976,Fruit,Pounds,Orange,14.74,87.48,102.22,,,,,,,,,
1977,Fruit,Pounds,Orange,13.44,95.57,109.02,,,,,,,,,
1978,Fruit,Pounds,Orange,13.44,78.73,92.18,,,,,,,,,
1979,Fruit,Pounds,Orange,11.5,74.97,86.47,,,,,,,,,
1980,Fruit,Pounds,Orange,14.28,81.44,95.72,,,,,,,,,
1981,Fruit,Pounds,Orange,12.33,83.19,95.53,,,,,,,,,
1982,Fruit,Pounds,Orange,11.68,75.31,86.99,,,,,,,,,
1983,Fruit,Pounds,Orange,15.01,91.42,106.43,,,,,,,,,
1984,Fruit,Pounds,Orange,11.85,80.6,92.45,,,,,,,,,
1985,Fruit,Pounds,Orange,11.59,78.71,90.3,,,,,,,,,
1986,Fruit,Pounds,Orange,13.42,82.98,96.4,,,,,,,,,
1987,Fruit,Pounds,Orange,12.81,68.53,81.33,,,,,,,,,
1988,Fruit,Pounds,Orange,13.9,65.72,79.62,,,,,,,,,
1989,Fruit,Pounds,Orange,12.17,67.74,79.91,,,,,,,,,
1990,Fruit,Pounds,Orange,12.36,62.54,74.9,,,,,,,,,
1991,Fruit,Pounds,Orange,8.43,73.72,82.14,,,,,,,,,
1992,Fruit,Pounds,Orange,12.83,63.6,76.43,,,,,,,,,
1993,Fruit,Pounds,Orange,14.13,74.42,88.55,,,,,,,,,
1994,Fruit,Pounds,Orange,12.93,75.37,88.3,,,,,,,,,
1995,Fruit,Pounds,Orange,11.82,69.86,81.68,,,,,,,,,
1996,Fruit,Pounds,Orange,12.57,78.18,90.75,,,,,,,,,
1997,Fruit,Pounds,Orange,13.91,74.4,88.31,,,,,,,,,
1998,Fruit,Pounds,Orange,14.6,89.41,104.01,,,,,,,,,
1999,Fruit,Pounds,Orange,8.37,73.09,81.47,,,,,,,,,
2000,Fruit,Pounds,Orange,11.74,80.32,92.06,,,,,,,,,
2001,Fruit,Pounds,Orange,11.88,75.34,87.22,,,,,,,,,
2002,Fruit,Pounds,Orange,11.74,72.52,84.27,,,,,,,,,
2003,Fruit,Pounds,Orange,11.9,71.21,83.1,,,,,,,,,
2004,Fruit,Pounds,Orange,10.8,73.18,83.99,,,,,,,,,
2005,Fruit,Pounds,Orange,11.43,69.17,80.6,,,,,,,,,
2006,Fruit,Pounds,Orange,10.24,62.81,73.05,,,,,,,,,
2007,Fruit,Pounds,Orange,7.46,58,65.46,,,,,,,,,
2008,Fruit,Pounds,Orange,9.93,52.64,62.57,,,,,,,,,
2009,Fruit,Pounds,Orange,9.06,54.48,63.54,,,,,,,,,
2010,Fruit,Pounds,Orange,9.68,51.67,61.36,,,,,,,,,
2011,Fruit,Pounds,Orange,9.96,53.09,63.05,,,,,,,,,
2012,Fruit,Pounds,Orange,10.47,43.75,54.21,,,,,,,,,
2013,Fruit,Pounds,Orange,10.38,45.59,55.98,,,,,,,,,
2014,Fruit,Pounds,Orange,9.38,44.3,53.68,,,,,,,,,
2015,Fruit,Pounds,Orange,8.67,42.82,51.49,,,,,,,,,
2016,Fruit,Pounds,Orange,9.17,42.16,51.34,,,,,,,,,
2017,Fruit,Pounds,Orange,8.53,38.27,46.8,,,,,,,,,
1970,Fruit,Pounds,Tangerine,2.24,0.96,3.19,,,,,,,,,
1971,Fruit,Pounds,Tangerine,2.34,1.16,3.5,,,,,,,,,
1972,Fruit,Pounds,Tangerine,2.06,1.49,3.55,,,,,,,,,
1973,Fruit,Pounds,Tangerine,2.07,1.47,3.54,,,,,,,,,
1974,Fruit,Pounds,Tangerine,2.23,1.4,3.64,,,,,,,,,
1975,Fruit,Pounds,Tangerine,2.56,1.62,4.19,,,,,,,,,
1976,Fruit,Pounds,Tangerine,2.36,2.03,4.39,,,,,,,,,
1977,Fruit,Pounds,Tangerine,2.63,1.71,4.34,,,,,,,,,
1978,Fruit,Pounds,Tangerine,2.08,1.99,4.07,,,,,,,,,
1979,Fruit,Pounds,Tangerine,2,1.9,3.91,,,,,,,,,
1980,Fruit,Pounds,Tangerine,2.2,2.85,5.05,,,,,,,,,
1981,Fruit,Pounds,Tangerine,1.94,2.02,3.96,,,,,,,,,
1982,Fruit,Pounds,Tangerine,1.93,2.47,4.4,,,,,,,,,
1983,Fruit,Pounds,Tangerine,1.87,1.69,3.56,,,,,,,,,
1984,Fruit,Pounds,Tangerine,1.81,1.6,3.42,,,,,,,,,
1985,Fruit,Pounds,Tangerine,1.39,1.39,2.78,,,,,,,,,
1986,Fruit,Pounds,Tangerine,1.54,1.14,2.68,,,,,,,,,
1987,Fruit,Pounds,Tangerine,1.77,1.58,3.35,,,,,,,,,
1988,Fruit,Pounds,Tangerine,1.77,1.56,3.33,,,,,,,,,
1989,Fruit,Pounds,Tangerine,1.7,1.59,3.29,,,,,,,,,
1990,Fruit,Pounds,Tangerine,1.32,1.09,2.41,,,,,,,,,
1991,Fruit,Pounds,Tangerine,1.38,0.95,2.32,,,,,,,,,
1992,Fruit,Pounds,Tangerine,1.93,1,2.93,,,,,,,,,
1993,Fruit,Pounds,Tangerine,1.86,1.12,2.98,,,,,,,,,
1994,Fruit,Pounds,Tangerine,2.1,1.43,3.52,,,,,,,,,
1995,Fruit,Pounds,Tangerine,1.99,1.25,3.24,,,,,,,,,
1996,Fruit,Pounds,Tangerine,2.15,1.24,3.39,,,,,,,,,
1997,Fruit,Pounds,Tangerine,2.52,2,4.52,,,,,,,,,
1998,Fruit,Pounds,Tangerine,2.17,1.48,3.64,,,,,,,,,
1999,Fruit,Pounds,Tangerine,2.3,1.2,3.5,,,,,,,,,
2000,Fruit,Pounds,Tangerine,2.86,1.62,4.48,,,,,,,,,
2001,Fruit,Pounds,Tangerine,2.72,1.22,3.94,,,,,,,,,
2002,Fruit,Pounds,Tangerine,2.55,1.31,3.87,,,,,,,,,
2003,Fruit,Pounds,Tangerine,2.72,1.16,3.88,,,,,,,,,
2004,Fruit,Pounds,Tangerine,2.77,0.93,3.7,,,,,,,,,
2005,Fruit,Pounds,Tangerine,2.5,0.81,3.31,,,,,,,,,
2006,Fruit,Pounds,Tangerine,2.68,1.13,3.81,,,,,,,,,
2007,Fruit,Pounds,Tangerine,2.56,0.97,3.53,,,,,,,,,
2008,Fruit,Pounds,Tangerine,3.07,1.3,4.37,,,,,,,,,
2009,Fruit,Pounds,Tangerine,3.15,0.8,3.95,,,,,,,,,
2010,Fruit,Pounds,Tangerine,3.77,1.01,4.78,,,,,,,,,
2011,Fruit,Pounds,Tangerine,4.13,1.12,5.25,,,,,,,,,
2012,Fruit,Pounds,Tangerine,4.16,1.05,5.2,,,,,,,,,
2013,Fruit,Pounds,Tangerine,4.47,0.9,5.38,,,,,,,,,
2014,Fruit,Pounds,Tangerine,4.98,0.9,5.88,,,,,,,,,
2015,Fruit,Pounds,Tangerine,5.2,1.52,6.72,,,,,,,,,
2016,Fruit,Pounds,Tangerine,5.27,1.96,7.22,,,,,,,,,
2017,Fruit,Pounds,Tangerine,5.36,2.09,7.45,,,,,,,,,
1970,Fruit,Pounds,Lemons,2.06,2.17,4.22,,,,,,,,,
1971,Fruit,Pounds,Lemons,2.25,2.46,4.72,,,,,,,,,
1972,Fruit,Pounds,Lemons,1.87,2.54,4.41,,,,,,,,,
1973,Fruit,Pounds,Lemons,1.94,4,5.94,,,,,,,,,
1974,Fruit,Pounds,Lemons,2.01,2.35,4.36,,,,,,,,,
1975,Fruit,Pounds,Lemons,1.95,6.25,8.2,,,,,,,,,
1976,Fruit,Pounds,Lemons,1.89,2.31,4.21,,,,,,,,,
1977,Fruit,Pounds,Lemons,2.11,4.42,6.53,,,,,,,,,
1978,Fruit,Pounds,Lemons,2.13,4.71,6.85,,,,,,,,,
1979,Fruit,Pounds,Lemons,1.91,2.56,4.47,,,,,,,,,
1980,Fruit,Pounds,Lemons,1.92,3.33,5.25,,,,,,,,,
1981,Fruit,Pounds,Lemons,2.01,6.53,8.54,,,,,,,,,
1982,Fruit,Pounds,Lemons,2.07,4.63,6.69,,,,,,,,,
1983,Fruit,Pounds,Lemons,2.32,4.36,6.67,,,,,,,,,
1984,Fruit,Pounds,Lemons,2.16,3.02,5.18,,,,,,,,,
1985,Fruit,Pounds,Lemons,2.3,3.82,6.12,,,,,,,,,
1986,Fruit,Pounds,Lemons,2.47,2.8,5.27,,,,,,,,,
1987,Fruit,Pounds,Lemons,2.48,5.38,7.86,,,,,,,,,
1988,Fruit,Pounds,Lemons,2.47,2.67,5.15,,,,,,,,,
1989,Fruit,Pounds,Lemons,2.39,2.73,5.12,,,,,,,,,
1990,Fruit,Pounds,Lemons,2.6,3.63,6.23,,,,,,,,,
1991,Fruit,Pounds,Lemons,2.6,3.48,6.08,,,,,,,,,
1992,Fruit,Pounds,Lemons,2.53,3.21,5.74,,,,,,,,,
1993,Fruit,Pounds,Lemons,2.63,4.36,7,,,,,,,,,
1994,Fruit,Pounds,Lemons,2.65,4.74,7.39,,,,,,,,,
1995,Fruit,Pounds,Lemons,2.83,3.21,6.04,,,,,,,,,
1996,Fruit,Pounds,Lemons,2.86,4.02,6.88,,,,,,,,,
1997,Fruit,Pounds,Lemons,2.76,4.2,6.95,,,,,,,,,
1998,Fruit,Pounds,Lemons,2.46,4.31,6.77,,,,,,,,,
1999,Fruit,Pounds,Lemons,2.61,3.01,5.62,,,,,,,,,
2000,Fruit,Pounds,Lemons,2.44,3.91,6.35,,,,,,,,,
2001,Fruit,Pounds,Lemons,2.97,5.24,8.21,,,,,,,,,
2002,Fruit,Pounds,Lemons,3.34,3.3,6.63,,,,,,,,,
2003,Fruit,Pounds,Lemons,3.33,5.35,8.68,,,,,,,,,
2004,Fruit,Pounds,Lemons,3.12,3.36,6.49,,,,,,,,,
2005,Fruit,Pounds,Lemons,2.95,4.25,7.19,,,,,,,,,
2006,Fruit,Pounds,Lemons,4.15,3.77,7.92,,,,,,,,,
2007,Fruit,Pounds,Lemons,2.81,3.62,6.42,,,,,,,,,
2008,Fruit,Pounds,Lemons,1.97,3.2,5.17,,,,,,,,,
2009,Fruit,Pounds,Lemons,3.12,4.23,7.35,,,,,,,,,
2010,Fruit,Pounds,Lemons,2.79,3.95,6.74,,,,,,,,,
2011,Fruit,Pounds,Lemons,3.46,5.12,8.58,,,,,,,,,
2012,Fruit,Pounds,Lemons,3.94,3.98,7.92,,,,,,,,,
2013,Fruit,Pounds,Lemons,3.48,4.55,8.02,,,,,,,,,
2014,Fruit,Pounds,Lemons,3.42,3.73,7.15,,,,,,,,,
2015,Fruit,Pounds,Lemons,3.6,5.23,8.83,,,,,,,,,
2016,Fruit,Pounds,Lemons,4.15,5.04,9.19,,,,,,,,,
2017,Fruit,Pounds,Lemons,4.32,5.55,9.87,,,,,,,,,
1970,Fruit,Pounds,Limes,0.17,0.15,0.32,,,,,,,,,
1971,Fruit,Pounds,Limes,0.17,0.2,0.37,,,,,,,,,
1972,Fruit,Pounds,Limes,0.21,0.27,0.48,,,,,,,,,
1973,Fruit,Pounds,Limes,0.21,0.25,0.46,,,,,,,,,
1974,Fruit,Pounds,Limes,0.2,0.23,0.43,,,,,,,,,
1975,Fruit,Pounds,Limes,0.22,0.25,0.47,,,,,,,,,
1976,Fruit,Pounds,Limes,0.25,0.2,0.45,,,,,,,,,
1977,Fruit,Pounds,Limes,0.23,0.19,0.43,,,,,,,,,
1978,Fruit,Pounds,Limes,0.22,0.05,0.27,,,,,,,,,
1979,Fruit,Pounds,Limes,0.27,0.1,0.37,,,,,,,,,
1980,Fruit,Pounds,Limes,0.36,0.19,0.54,,,,,,,,,
1981,Fruit,Pounds,Limes,0.42,0.19,0.61,,,,,,,,,
1982,Fruit,Pounds,Limes,0.38,0.26,0.64,,,,,,,,,
1983,Fruit,Pounds,Limes,0.52,0.27,0.79,,,,,,,,,
1984,Fruit,Pounds,Limes,0.45,0.23,0.68,,,,,,,,,
1985,Fruit,Pounds,Limes,0.56,0.29,0.85,,,,,,,,,
1986,Fruit,Pounds,Limes,0.58,0.39,0.97,,,,,,,,,
1987,Fruit,Pounds,Limes,0.51,0.38,0.89,,,,,,,,,
1988,Fruit,Pounds,Limes,0.56,0.19,0.75,,,,,,,,,
1989,Fruit,Pounds,Limes,0.69,0.25,0.94,,,,,,,,,
1990,Fruit,Pounds,Limes,0.66,0.57,1.23,,,,,,,,,
1991,Fruit,Pounds,Limes,0.75,0.47,1.23,,,,,,,,,
1992,Fruit,Pounds,Limes,1.02,0.39,1.41,,,,,,,,,
1993,Fruit,Pounds,Limes,0.95,0.19,1.15,,,,,,,,,
1994,Fruit,Pounds,Limes,0.97,0.23,1.2,,,,,,,,,
1995,Fruit,Pounds,Limes,1.18,0.51,1.69,,,,,,,,,
1996,Fruit,Pounds,Limes,1.14,0.28,1.42,,,,,,,,,
1997,Fruit,Pounds,Limes,1.15,0.49,1.64,,,,,,,,,
1998,Fruit,Pounds,Limes,1.4,0.23,1.63,,,,,,,,,
1999,Fruit,Pounds,Limes,1.33,0.22,1.55,,,,,,,,,
2000,Fruit,Pounds,Limes,1.39,0.5,1.89,,,,,,,,,
2001,Fruit,Pounds,Limes,1.5,0.55,2.05,,,,,,,,,
2002,Fruit,Pounds,Limes,1.1,0.35,1.45,,,,,,,,,
2003,Fruit,Pounds,Limes,1.77,0.31,2.08,,,,,,,,,
2004,Fruit,Pounds,Limes,1.85,0.69,2.54,,,,,,,,,
2005,Fruit,Pounds,Limes,2.09,0.68,2.77,,,,,,,,,
2006,Fruit,Pounds,Limes,2.26,0.82,3.07,,,,,,,,,
2007,Fruit,Pounds,Limes,2.27,0.58,2.85,,,,,,,,,
2008,Fruit,Pounds,Limes,2.48,0.74,3.22,,,,,,,,,
2009,Fruit,Pounds,Limes,2.55,1.07,3.62,,,,,,,,,
2010,Fruit,Pounds,Limes,2.57,0.95,3.52,,,,,,,,,
2011,Fruit,Pounds,Limes,2.5,1.04,3.55,,,,,,,,,
2012,Fruit,Pounds,Limes,2.57,1.17,3.74,,,,,,,,,
2013,Fruit,Pounds,Limes,2.96,1.03,3.99,,,,,,,,,
2014,Fruit,Pounds,Limes,3.07,0.95,4.02,,,,,,,,,
2015,Fruit,Pounds,Limes,3.01,0.96,3.98,,,,,,,,,
2016,Fruit,Pounds,Limes,3.48,0.87,4.34,,,,,,,,,
2017,Fruit,Pounds,Limes,3.75,0.98,4.73,,,,,,,,,
1970,Fruit,Pounds,Grapefruit,8.22,11.24,19.45,,,,,,,,,
1971,Fruit,Pounds,Grapefruit,8.55,12.66,21.2,,,,,,,,,
1972,Fruit,Pounds,Grapefruit,8.56,12.47,21.04,,,,,,,,,
1973,Fruit,Pounds,Grapefruit,8.57,13.04,21.61,,,,,,,,,
1974,Fruit,Pounds,Grapefruit,8.21,12.29,20.51,,,,,,,,,
1975,Fruit,Pounds,Grapefruit,8.36,13.19,21.55,,,,,,,,,
1976,Fruit,Pounds,Grapefruit,9.26,10.45,19.71,,,,,,,,,
1977,Fruit,Pounds,Grapefruit,7.73,14.38,22.11,,,,,,,,,
1978,Fruit,Pounds,Grapefruit,8.35,16.01,24.35,,,,,,,,,
1979,Fruit,Pounds,Grapefruit,7.29,14.09,21.38,,,,,,,,,
1980,Fruit,Pounds,Grapefruit,7.3,10.2,17.5,,,,,,,,,
1981,Fruit,Pounds,Grapefruit,6.65,13.03,19.69,,,,,,,,,
1982,Fruit,Pounds,Grapefruit,7.2,12.19,19.39,,,,,,,,,
1983,Fruit,Pounds,Grapefruit,7.84,11.53,19.37,,,,,,,,,
1984,Fruit,Pounds,Grapefruit,5.98,6.23,12.21,,,,,,,,,
1985,Fruit,Pounds,Grapefruit,5.51,11.12,16.63,,,,,,,,,
1986,Fruit,Pounds,Grapefruit,6.13,8.49,14.62,,,,,,,,,
1987,Fruit,Pounds,Grapefruit,6.35,11.54,17.88,,,,,,,,,
1988,Fruit,Pounds,Grapefruit,6.69,6.07,12.75,,,,,,,,,
1989,Fruit,Pounds,Grapefruit,6.6,9.7,16.31,,,,,,,,,
1990,Fruit,Pounds,Grapefruit,4.59,14.65,19.24,,,,,,,,,
1991,Fruit,Pounds,Grapefruit,5.86,8.55,14.41,,,,,,,,,
1992,Fruit,Pounds,Grapefruit,5.92,6.56,12.48,,,,,,,,,
1993,Fruit,Pounds,Grapefruit,6.19,8.47,14.66,,,,,,,,,
1994,Fruit,Pounds,Grapefruit,6.07,10.12,16.19,,,,,,,,,
1995,Fruit,Pounds,Grapefruit,5.99,9.79,15.78,,,,,,,,,
1996,Fruit,Pounds,Grapefruit,5.84,9.25,15.09,,,,,,,,,
1997,Fruit,Pounds,Grapefruit,6.18,9,15.17,,,,,,,,,
1998,Fruit,Pounds,Grapefruit,5.93,9.68,15.61,,,,,,,,,
1999,Fruit,Pounds,Grapefruit,5.75,8.9,14.64,,,,,,,,,
2000,Fruit,Pounds,Grapefruit,5.09,8.13,13.22,,,,,,,,,
2001,Fruit,Pounds,Grapefruit,4.85,8.38,13.22,,,,,,,,,
2002,Fruit,Pounds,Grapefruit,4.63,7,11.63,,,,,,,,,
2003,Fruit,Pounds,Grapefruit,4.1,5.97,10.07,,,,,,,,,
2004,Fruit,Pounds,Grapefruit,4.14,5.97,10.11,,,,,,,,,
2005,Fruit,Pounds,Grapefruit,2.65,3.62,6.26,,,,,,,,,
2006,Fruit,Pounds,Grapefruit,2.31,3.16,5.47,,,,,,,,,
2007,Fruit,Pounds,Grapefruit,2.84,4.32,7.15,,,,,,,,,
2008,Fruit,Pounds,Grapefruit,3.16,4.23,7.39,,,,,,,,,
2009,Fruit,Pounds,Grapefruit,2.8,3.81,6.6,,,,,,,,,
2010,Fruit,Pounds,Grapefruit,2.76,3.21,5.98,,,,,,,,,
2011,Fruit,Pounds,Grapefruit,2.71,3.53,6.25,,,,,,,,,
2012,Fruit,Pounds,Grapefruit,2.37,2.7,5.07,,,,,,,,,
2013,Fruit,Pounds,Grapefruit,2.64,3.07,5.71,,,,,,,,,
2014,Fruit,Pounds,Grapefruit,2.4,2.74,5.14,,,,,,,,,
2015,Fruit,Pounds,Grapefruit,2.23,2.23,4.46,,,,,,,,,
2016,Fruit,Pounds,Grapefruit,1.94,1.87,3.81,,,,,,,,,
2017,Fruit,Pounds,Grapefruit,1.86,1.64,3.5,,,,,,,,,
1970,Fruit,Pounds,Apples,17.23,14.71,31.94,,,,,,,,,
1971,Fruit,Pounds,Apples,16.62,14.48,31.09,,,,,,,,,
1972,Fruit,Pounds,Apples,15.68,12.62,28.31,,,,,,,,,
1973,Fruit,Pounds,Apples,16.28,13.66,29.93,,,,,,,,,
1974,Fruit,Pounds,Apples,16.56,14.5,31.06,,,,,,,,,
1975,Fruit,Pounds,Apples,19.68,13.66,33.34,,,,,,,,,
1976,Fruit,Pounds,Apples,17.24,12.9,30.14,,,,,,,,,
1977,Fruit,Pounds,Apples,16.69,15.14,31.83,,,,,,,,,
1978,Fruit,Pounds,Apples,18.14,18.13,36.27,,,,,,,,,
1979,Fruit,Pounds,Apples,17.34,19.18,36.51,,,,,,,,,
1980,Fruit,Pounds,Apples,19.41,20.82,40.23,,,,,,,,,
1981,Fruit,Pounds,Apples,17.01,17.91,34.93,,,,,,,,,
1982,Fruit,Pounds,Apples,17.7,22.34,40.04,,,,,,,,,
1983,Fruit,Pounds,Apples,18.43,23.52,41.95,,,,,,,,,
1984,Fruit,Pounds,Apples,18.52,26.21,44.73,,,,,,,,,
1985,Fruit,Pounds,Apples,17.42,26.16,43.58,,,,,,,,,
1986,Fruit,Pounds,Apples,18,25.52,43.52,,,,,,,,,
1987,Fruit,Pounds,Apples,21.02,27.59,48.61,,,,,,,,,
1988,Fruit,Pounds,Apples,20.02,27.71,47.73,,,,,,,,,
1989,Fruit,Pounds,Apples,21.43,25.64,47.07,,,,,,,,,
1990,Fruit,Pounds,Apples,19.81,28.68,48.49,,,,,,,,,
1991,Fruit,Pounds,Apples,18.33,25.79,44.12,,,,,,,,,
1992,Fruit,Pounds,Apples,19.37,27.7,47.08,,,,,,,,,
1993,Fruit,Pounds,Apples,19.22,29.62,48.85,,,,,,,,,
1994,Fruit,Pounds,Apples,19.58,30.05,49.63,,,,,,,,,
1995,Fruit,Pounds,Apples,18.89,26.75,45.64,,,,,,,,,
1996,Fruit,Pounds,Apples,18.88,28.05,46.92,,,,,,,,,
1997,Fruit,Pounds,Apples,18.28,27.32,45.6,,,,,,,,,
1998,Fruit,Pounds,Apples,19.19,28.65,47.84,,,,,,,,,
1999,Fruit,Pounds,Apples,18.71,28.89,47.61,,,,,,,,,
2000,Fruit,Pounds,Apples,17.64,27.89,45.53,,,,,,,,,
2001,Fruit,Pounds,Apples,15.76,28.12,43.89,,,,,,,,,
2002,Fruit,Pounds,Apples,16.16,27.39,43.54,,,,,,,,,
2003,Fruit,Pounds,Apples,17.06,29.93,47,,,,,,,,,
2004,Fruit,Pounds,Apples,18.97,31.95,50.92,,,,,,,,,
2005,Fruit,Pounds,Apples,16.81,28.83,45.64,,,,,,,,,
2006,Fruit,Pounds,Apples,17.9,33.31,51.21,,,,,,,,,
2007,Fruit,Pounds,Apples,16.55,33.73,50.28,,,,,,,,,
2008,Fruit,Pounds,Apples,16.02,32.31,48.33,,,,,,,,,
2009,Fruit,Pounds,Apples,16.34,31.35,47.69,,,,,,,,,
2010,Fruit,Pounds,Apples,15.39,32.5,47.9,,,,,,,,,
2011,Fruit,Pounds,Apples,15.56,27.25,42.8,,,,,,,,,
2012,Fruit,Pounds,Apples,16.14,27.59,43.73,,,,,,,,,
2013,Fruit,Pounds,Apples,17.45,28.37,45.82,,,,,,,,,
2014,Fruit,Pounds,Apples,18.74,27.1,45.84,,,,,,,,,
2015,Fruit,Pounds,Apples,17.48,29.24,46.72,,,,,,,,,
2016,Fruit,Pounds,Apples,18.67,29.79,48.46,,,,,,,,,
1970,Fruit,Pounds,Apricots,0.12,1.54,1.65,,,,,,,,,
1971,Fruit,Pounds,Apricots,0.13,1.25,1.38,,,,,,,,,
1972,Fruit,Pounds,Apricots,0.08,1.2,1.28,,,,,,,,,
1973,Fruit,Pounds,Apricots,0.09,1.43,1.52,,,,,,,,,
1974,Fruit,Pounds,Apricots,0.06,0.85,0.92,,,,,,,,,
1975,Fruit,Pounds,Apricots,0.08,1.3,1.38,,,,,,,,,
1976,Fruit,Pounds,Apricots,0.1,1.19,1.29,,,,,,,,,
1977,Fruit,Pounds,Apricots,0.09,1.19,1.27,,,,,,,,,
1978,Fruit,Pounds,Apricots,0.07,1.01,1.09,,,,,,,,,
1979,Fruit,Pounds,Apricots,0.08,1.08,1.16,,,,,,,,,
1980,Fruit,Pounds,Apricots,0.1,0.9,1,,,,,,,,,
1981,Fruit,Pounds,Apricots,0.1,0.82,0.91,,,,,,,,,
1982,Fruit,Pounds,Apricots,0.08,1.05,1.13,,,,,,,,,
1983,Fruit,Pounds,Apricots,0.08,1,1.08,,,,,,,,,
1984,Fruit,Pounds,Apricots,0.13,1.11,1.23,,,,,,,,,
1985,Fruit,Pounds,Apricots,0.16,0.8,0.96,,,,,,,,,
1986,Fruit,Pounds,Apricots,0.1,0.81,0.91,,,,,,,,,
1987,Fruit,Pounds,Apricots,0.08,0.81,0.89,,,,,,,,,
1988,Fruit,Pounds,Apricots,0.16,0.87,1.03,,,,,,,,,
1989,Fruit,Pounds,Apricots,0.09,1.17,1.26,,,,,,,,,
1990,Fruit,Pounds,Apricots,0.16,0.98,1.13,,,,,,,,,
1991,Fruit,Pounds,Apricots,0.13,0.85,0.98,,,,,,,,,
1992,Fruit,Pounds,Apricots,0.15,1.05,1.2,,,,,,,,,
1993,Fruit,Pounds,Apricots,0.13,0.94,1.07,,,,,,,,,
1994,Fruit,Pounds,Apricots,0.15,1.43,1.58,,,,,,,,,
1995,Fruit,Pounds,Apricots,0.1,0.88,0.98,,,,,,,,,
1996,Fruit,Pounds,Apricots,0.09,0.76,0.84,,,,,,,,,
1997,Fruit,Pounds,Apricots,0.14,1.04,1.18,,,,,,,,,
1998,Fruit,Pounds,Apricots,0.12,1.05,1.17,,,,,,,,,
1999,Fruit,Pounds,Apricots,0.12,0.85,0.97,,,,,,,,,
2000,Fruit,Pounds,Apricots,0.15,1.1,1.26,,,,,,,,,
2001,Fruit,Pounds,Apricots,0.08,1.07,1.15,,,,,,,,,
2002,Fruit,Pounds,Apricots,0.09,0.78,0.86,,,,,,,,,
2003,Fruit,Pounds,Apricots,0.13,0.99,1.12,,,,,,,,,
2004,Fruit,Pounds,Apricots,0.12,0.82,0.94,,,,,,,,,
2005,Fruit,Pounds,Apricots,0.13,0.99,1.12,,,,,,,,,
2006,Fruit,Pounds,Apricots,0.08,0.83,0.91,,,,,,,,,
2007,Fruit,Pounds,Apricots,0.16,0.89,1.05,,,,,,,,,
2008,Fruit,Pounds,Apricots,0.13,0.79,0.93,,,,,,,,,
2009,Fruit,Pounds,Apricots,0.14,0.78,0.92,,,,,,,,,
2010,Fruit,Pounds,Apricots,0.12,0.74,0.86,,,,,,,,,
2011,Fruit,Pounds,Apricots,0.12,0.73,0.86,,,,,,,,,
